#Re    B    Pr    Pe    BPe    t    avg tdisp    avg mdisp    avg eta (local)    avg eta (global)    avg lam eta (local)    avg lam eta (global)    avg lam tdisp    avg lam mdisp    avg turb eta (local)    avg turb eta (global)    avg turb tdisp    avg turb mdisp    vlam    vturb    avg_uh    
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.5272e+02    1.6316e-01    2.5281e+02    3.8855e-01    3.9223e-01    3.9560e-01    4.1306e-01    1.3343e-01    1.8960e+02    3.6152e-01    3.5885e-01    2.7704e-01    4.9499e+02    7.9302e-01    2.0698e-01    2.0942e+00    
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.5653e+02    1.7799e-01    2.9600e+02    3.8426e-01    3.7551e-01    4.0107e-01    4.2327e-01    1.3815e-01    1.8823e+02    3.3806e-01    3.2682e-01    2.8741e-01    5.9201e+02    7.3309e-01    2.6691e-01    2.0288e+00    
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.6000e+02    1.8324e-01    3.3892e+02    3.7046e-01    3.5093e-01    3.8560e-01    3.9844e-01    1.3343e-01    2.0144e+02    3.3616e-01    3.1285e-01    2.9605e-01    6.5024e+02    6.9368e-01    3.0632e-01    2.1113e+00    
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.6352e+02    1.5288e-01    2.9259e+02    3.3093e-01    3.4319e-01    3.3150e-01    3.5346e-01    1.0615e-01    1.9417e+02    3.2912e-01    3.3244e-01    2.9965e-01    6.0170e+02    7.5850e-01    2.4150e-01    1.9290e+00    
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.6695e+02    1.8731e-01    3.1746e+02    3.8184e-01    3.7109e-01    4.0006e-01    4.0700e-01    1.3269e-01    1.9333e+02    3.4257e-01    3.4273e-01    3.0508e-01    5.8506e+02    6.8314e-01    3.1686e-01    2.2153e+00    
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.6986e+02    2.3383e-01    4.3012e+02    3.8135e-01    3.5218e-01    4.0969e-01    4.2123e-01    1.7113e-01    2.3513e+02    3.4385e-01    3.1524e-01    3.1676e-01    6.8807e+02    5.6950e-01    4.3050e-01    1.8923e+00    
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.7372e+02    1.2610e-01    2.3926e+02    3.7349e-01    3.4514e-01    3.8556e-01    3.7515e-01    1.0298e-01    1.7153e+02    3.3227e-01    3.0350e-01    2.0505e-01    4.7057e+02    7.7351e-01    2.2649e-01    2.0073e+00    
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.7723e+02    1.7970e-01    3.2145e+02    3.7045e-01    3.5857e-01    3.8354e-01    3.8869e-01    1.3393e-01    2.1064e+02    3.3491e-01    3.2816e-01    3.0390e-01    6.2216e+02    7.3072e-01    2.6928e-01    1.8823e+00    
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.8139e+02    8.8860e-02    2.0756e+02    3.3715e-01    2.9978e-01    3.4981e-01    3.2340e-01    7.6245e-02    1.5951e+02    2.8338e-01    2.5708e-01    1.4244e-01    4.1164e+02    8.0943e-01    1.9057e-01    1.8672e+00    
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.8504e+02    1.6150e-01    2.8965e+02    3.6122e-01    3.5797e-01    3.7349e-01    3.8650e-01    1.1739e-01    1.8634e+02    3.3124e-01    3.3186e-01    2.6934e-01    5.4225e+02    7.0975e-01    2.9025e-01    1.9637e+00    
