#Re    B    Pr    Pe    BPe    t    avg_uh    tdisp    mdisp    eta (local)    eta (global)    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    lam_Fr tdisp    lam_Fr mdisp    lam_Fr eta (local)    lam_Fr eta (global)    lam_Fr_vortz tdisp    lam_Fr_vortz mdisp    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (global)    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    turb_Fr tdisp    turb_Fr mdisp    turb_Fr eta (local)    turb_Fr eta (global)    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (global)    vlam    vturb    vlam_Fr    vturb_Fr    vlam_Fr_vortz    vturb_Fr_vortz    
# Index 000: Re = 600.00, Pe =  60.00, B = 300.00
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    4.8141e+00    1.3572e+00    2.4388e-14    4.3854e+00    4.7871e-11    1.6684e-11    2.4545e-14    3.8149e+00    5.0150e-11    1.9302e-11    2.1395e-14    1.5264e+01    4.4276e-12    4.2050e-12    2.4654e-14    3.5615e+00    5.1979e-11    2.0767e-11    2.1649e-14    1.2878e+01    5.5271e-12    5.0433e-12    2.4443e-14    2.4443e-14    4.8952e-11    1.8157e-11    2.2150e-14    1.8570e+01    3.6843e-12    3.5782e-12    9.5017e-01    4.9832e-02    9.1157e-01    8.8433e-02    9.7613e-01    2.3872e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    7.9932e+00    2.1126e+00    2.6952e-14    1.0025e+01    1.9078e-11    8.0654e-12    2.5968e-14    6.7812e+00    2.2913e-11    1.1488e-11    3.0795e-14    2.2689e+01    4.1059e-12    4.0718e-12    2.5279e-14    5.4424e+00    2.7446e-11    1.3935e-11    2.9682e-14    1.7501e+01    5.4256e-12    5.0881e-12    2.6739e-14    2.6739e-14    1.9948e-11    9.1341e-12    3.0972e-14    3.3453e+01    2.6670e-12    2.7775e-12    7.9608e-01    2.0392e-01    6.1997e-01    3.8003e-01    9.4963e-01    5.0373e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.0297e+01    2.5837e+00    2.7402e-13    1.3893e+01    1.3130e-10    5.9169e-11    2.7372e-13    8.5229e+00    1.6540e-10    9.6345e-11    2.7488e-13    2.9383e+01    3.2932e-11    2.8066e-11    2.7388e-13    7.0372e+00    2.0159e-10    1.1676e-10    2.7418e-13    2.1865e+01    4.9559e-11    3.7619e-11    2.7559e-13    2.7559e-13    1.4004e-10    7.2196e-11    2.5356e-13    4.5602e+01    1.7709e-11    1.6681e-11    7.4257e-01    2.5743e-01    5.3764e-01    4.6236e-01    9.2852e-01    7.1481e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.2232e+01    2.7822e+00    4.2293e-12    1.4663e+01    1.5914e-09    8.6530e-10    4.3590e-12    9.4543e+00    1.9892e-09    1.3832e-09    3.8609e-12    2.9462e+01    4.6100e-10    3.9313e-10    4.5535e-12    8.0780e+00    2.4342e-09    1.6911e-09    3.8997e-12    2.1358e+01    7.3448e-10    5.4776e-10    4.1955e-12    4.1955e-12    1.6859e-09    1.0406e-09    4.6998e-12    5.0416e+01    2.7507e-10    2.7966e-10    7.3966e-01    2.6034e-01    5.0412e-01    4.9588e-01    9.3299e-01    6.7013e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.4074e+01    3.1054e+00    1.0511e-09    1.4588e+01    3.0768e-07    2.1617e-07    8.0756e-10    7.4814e+00    3.7372e-07    3.2383e-07    1.7178e-09    3.4040e+01    1.2691e-07    1.5139e-07    6.1876e-10    5.2931e+00    4.4651e-07    3.5070e-07    1.4503e-09    2.3168e+01    1.7952e-07    1.8779e-07    9.2743e-10    9.2743e-10    3.1994e-07    2.3458e-07    3.2781e-09    6.3685e+01    8.6917e-08    1.5442e-07    7.3243e-01    2.6757e-01    4.8002e-01    5.1998e-01    9.4738e-01    5.2618e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.5798e+01    3.2808e+00    6.0812e-09    1.4211e+01    2.0495e-06    1.2838e-06    6.3334e-09    7.8583e+00    2.5112e-06    2.4179e-06    5.3684e-09    3.2159e+01    7.4504e-07    5.0079e-07    5.8357e-09    5.7573e+00    2.8983e-06    3.0408e-06    6.3252e-09    2.2614e+01    1.2058e-06    8.3909e-07    6.3150e-09    6.3150e-09    2.1454e-06    1.5779e-06    1.2779e-09    5.9479e+01    8.0487e-08    6.4453e-08    7.3859e-01    2.6141e-01    4.9852e-01    5.0148e-01    9.5357e-01    4.6428e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.7456e+01    3.5894e+00    1.6748e-08    1.4687e+01    8.4722e-06    3.4211e-06    1.7205e-08    8.1980e+00    1.0679e-05    6.2961e-06    1.5334e-08    3.4783e+01    1.6393e-06    1.3225e-06    1.7386e-08    6.4203e+00    1.3728e-05    8.1238e-06    1.6123e-08    2.2802e+01    3.3131e-06    2.1213e-06    1.6782e-08    1.6782e-08    8.9169e-06    4.2357e-06    1.6178e-08    6.2970e+01    8.0715e-07    7.7073e-07    7.5592e-01    2.4408e-01    4.9536e-01    5.0464e-01    9.4517e-01    5.4834e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.9002e+01    3.7605e+00    7.0335e-08    1.3711e+01    3.3412e-05    1.5389e-05    6.5845e-08    7.3752e+00    4.0206e-05    2.6783e-05    8.6665e-08    3.6751e+01    8.7040e-06    7.0744e-06    6.2801e-08    5.4013e+00    5.0944e-05    3.4880e-05    7.8181e-08    2.2364e+01    1.5155e-05    1.0487e-05    7.0550e-08    7.0550e-08    3.4894e-05    1.9532e-05    6.5886e-08    7.3265e+01    2.6961e-06    2.6978e-06    7.8432e-01    2.1568e-01    5.1012e-01    4.8988e-01    9.5395e-01    4.6051e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.0509e+01    3.9323e+00    2.5094e-07    1.4892e+01    1.7919e-04    5.0550e-05    2.3038e-07    8.0478e+00    2.1901e-04    8.5871e-05    3.2780e-07    4.0475e+01    3.0311e-05    2.4296e-05    2.2333e-07    5.6359e+00    3.0699e-04    1.1887e-04    2.7913e-07    2.4343e+01    4.8687e-05    3.4399e-05    2.5440e-07    2.5440e-07    1.8750e-04    6.5274e-05    1.8015e-07    8.0397e+01    8.9913e-06    6.7223e-06    7.8895e-01    2.1105e-01    5.0522e-01    4.9478e-01    9.5342e-01    4.6578e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.1924e+01    4.1732e+00    2.0299e-06    1.5624e+01    1.0275e-03    3.8961e-04    2.1983e-06    7.9996e+00    1.2797e-03    8.2372e-04    1.4717e-06    4.0898e+01    1.9152e-04    1.0794e-04    2.1729e-06    5.8493e+00    1.6515e-03    1.1132e-03    1.8952e-06    2.4831e+01    4.3970e-04    2.2891e-04    2.0897e-06    2.0897e-06    1.0719e-03    5.2060e-04    6.8538e-07    9.6262e+01    2.9012e-05    2.1359e-05    7.6823e-01    2.3177e-01    4.8505e-01    5.1495e-01    9.5740e-01    4.2603e-02    
