#Re    B    Pr    Pe    BPe    lb    ub    avg_uh    tdisp    mdisp    eta (local)    eta (global)    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    lam_Fr tdisp    lam_Fr mdisp    lam_Fr eta (local)    lam_Fr eta (global)    lam_Fr_vortz tdisp    lam_Fr_vortz mdisp    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (global)    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    turb_Fr tdisp    turb_Fr mdisp    turb_Fr eta (local)    turb_Fr eta (global)    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (global)    vlam    vturb    vlam_Fr    vturb_Fr    vlam_Fr_vortz    vturb_Fr_vortz    wrms    lam wrms    turb wrms    lam_Fr wrms    turb_Fr wrms    lam_Fr_vortz wrms    turb_Fr_vortz wrms    lam wrms wght    turb wrms wght    lam wrms eff wght    turb wrms eff wght    
# Index 000: Re = 600.02, Pe =  60.00, B = 100.00
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.5000e+02    3.0000e+02    1.9704e+00    1.3775e-01    2.6764e+02    3.5586e-01    3.3462e-01    1.0749e-01    1.8200e+02    3.6913e-01    3.6664e-01    2.2158e-01    5.1008e+02    3.1737e-01    2.9734e-01    1.0243e-01    1.7275e+02    3.7018e-01    3.6772e-01    1.9241e-01    4.1742e+02    3.3288e-01    3.1040e-01    1.1274e-01    1.9411e+02    3.6630e-01    3.6254e-01    2.6759e-01    6.5973e+02    2.9762e-01    2.8274e-01    7.4690e-01    2.5310e-01    6.2114e-01    3.7886e-01    8.4724e-01    1.5276e-01    1.5531e-12    7.1879e-05    -1.9285e-04    5.2659e-05    -4.5755e-05    1.4087e-04    -7.5781e-04    nan    5.7890e-01    nan    2.9494e-01    
# Index 001: Re = 600.02, Pe =  60.00, B =   0.10
6.0002e+02    1.0000e-01    1.0000e-01    6.0002e+01    6.0002e+00    2.7500e+02    4.0000e+02    2.0090e+00    2.3074e+01    3.4512e+02    1.0467e-01    6.5226e-02    2.2994e+01    1.6261e+02    1.5923e-01    1.2889e-01    2.3092e+01    3.6011e+02    9.9737e-02    6.2512e-02    2.3010e+01    1.6233e+02    1.5965e-01    1.2921e-01    2.3085e+01    3.5548e+02    1.0123e-01    6.3311e-02    2.2965e+01    1.6317e+02    1.5842e-01    1.2827e-01    2.3106e+01    3.6701e+02    9.7580e-02    6.1380e-02    8.0494e-02    9.1951e-01    5.7152e-02    9.4285e-01    1.1310e-01    8.8690e-01    -6.4602e-11    3.0903e-03    -2.6909e-04    3.1783e-03    -1.9483e-04    3.0239e-03    -3.7646e-04    nan    1.1399e+00    nan    5.7041e-01    
# Index 002: Re = 600.02, Pe =  60.00, B =   1.00
6.0002e+02    1.0000e+00    1.0000e-01    6.0002e+01    6.0002e+01    1.8000e+02    3.2000e+02    1.9452e+00    1.0734e+01    2.8641e+02    2.9612e-01    2.7882e-01    1.0506e+01    1.3475e+02    3.9226e-01    4.4439e-01    1.0790e+01    3.1232e+02    2.7859e-01    2.6181e-01    1.0519e+01    1.3399e+02    3.9385e-01    4.4626e-01    1.0772e+01    3.0439e+02    2.8375e-01    2.6666e-01    1.0484e+01    1.3610e+02    3.8952e-01    4.4123e-01    1.0820e+01    3.2412e+02    2.7127e-01    2.5506e-01    1.5289e-01    8.4711e-01    1.1145e-01    8.8855e-01    2.0830e-01    7.9170e-01    -1.6761e-11    1.6989e-03    -4.0522e-04    1.7233e-03    -2.9497e-04    1.6277e-03    -5.4430e-04    nan    1.0290e+00    nan    5.3163e-01    
# Index 003: Re = 602.41, Pe =  60.24, B =  10.00
6.0241e+02    1.0000e+01    1.0000e-01    6.0241e+01    6.0241e+02    2.2000e+02    4.5000e+02    2.0464e+00    1.8411e+00    2.4504e+02    4.4474e-01    4.3390e-01    1.6780e+00    1.1773e+02    5.3815e-01    5.9026e-01    1.9088e+00    2.9452e+02    4.0694e-01    3.9672e-01    1.6776e+00    1.1576e+02    5.4199e-01    5.9441e-01    1.8859e+00    2.7757e+02    4.1907e-01    4.0820e-01    1.6791e+00    1.2137e+02    5.3146e-01    5.8295e-01    1.9463e+00    3.2165e+02    3.8924e-01    3.8042e-01    2.8801e-01    7.1199e-01    2.0886e-01    7.9114e-01    3.8983e-01    6.1017e-01    -1.6863e-11    -1.3869e-03    5.0485e-04    -1.4230e-03    3.3862e-04    -1.3166e-03    7.6814e-04    nan    7.9809e-01    nan    3.9251e-01    
# Index 004: Re = 600.02, Pe =  60.00, B = 100.00
6.0002e+02    1.0000e+02    1.0000e-01    6.0002e+01    6.0002e+03    1.5000e+02    3.0000e+02    1.9704e+00    1.3775e-01    2.6764e+02    3.5586e-01    3.3462e-01    1.0749e-01    1.8200e+02    3.6913e-01    3.6664e-01    2.2158e-01    5.1008e+02    3.1737e-01    2.9734e-01    1.0243e-01    1.7275e+02    3.7018e-01    3.6772e-01    1.9241e-01    4.1742e+02    3.3288e-01    3.1040e-01    1.1274e-01    1.9411e+02    3.6630e-01    3.6254e-01    2.6759e-01    6.5973e+02    2.9762e-01    2.8274e-01    7.4690e-01    2.5310e-01    6.2114e-01    3.7886e-01    8.4724e-01    1.5276e-01    1.5531e-12    7.1879e-05    -1.9285e-04    5.2659e-05    -4.5755e-05    1.4087e-04    -7.5781e-04    nan    5.7890e-01    nan    2.9494e-01    
# Index 005: Re = 600.02, Pe =  60.00, B = 1000.00
6.0002e+02    1.0000e+03    1.0000e-01    6.0002e+01    6.0002e+04    5.0000e+02    9.0000e+02    2.9649e+00    6.9951e-03    4.3140e+02    1.9191e-01    1.3653e-01    6.5604e-03    4.1134e+02    1.9207e-01    1.3570e-01    3.3159e-02    1.8647e+03    1.8268e-01    1.3996e-01    5.5689e-03    3.8579e+02    1.8463e-01    1.2516e-01    1.8388e-02    7.8972e+02    2.5930e-01    1.8323e-01    6.8134e-03    4.2458e+02    1.9192e-01    1.3600e-01    nan    nan    1.1608e-01    nan    9.8771e-01    1.2289e-02    8.9254e-01    1.0746e-01    9.9836e-01    1.6378e-03    -1.8367e-12    2.0711e-05    -1.8309e-03    4.2698e-05    -3.7781e-04    6.4884e-06    nan    nan    2.2959e-01    nan    7.6132e-02    
# Index 006: Re = 600.02, Pe =  60.00, B =  30.00
