#Re    B    Pr    Pe    BPe    lb    ub    avg_uh    tdisp    mdisp    eta (local)    eta (global)    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    lam_Fr tdisp    lam_Fr mdisp    lam_Fr eta (local)    lam_Fr eta (global)    lam_Fr_vortz tdisp    lam_Fr_vortz mdisp    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (global)    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    turb_Fr tdisp    turb_Fr mdisp    turb_Fr eta (local)    turb_Fr eta (global)    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (global)    vlam    vturb    vlam_Fr    vturb_Fr    vlam_Fr_vortz    vturb_Fr_vortz    wrms    lam wrms    turb wrms    lam_Fr wrms    turb_Fr wrms    lam_Fr_vortz wrms    turb_Fr_vortz wrms    lam wrms wght    turb wrms wght    lam wrms eff wght    turb wrms eff wght    
# Index 000: Re = 600.00, Pe =  60.00, B = 300.00
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    4.0000e+01    8.0000e+01    1.6475e+00    2.7502e-02    1.8457e+02    3.4708e-01    3.1065e-01    2.6464e-02    1.7979e+02    3.4623e-01    3.0811e-01    4.8999e-02    2.7912e+02    3.6725e-01    3.4935e-01    2.5596e-02    1.7751e+02    3.4459e-01    3.0383e-01    4.3142e-02    2.3991e+02    3.6934e-01    3.5385e-01    2.6995e-02    1.8172e+02    3.4694e-01    3.1002e-01    5.9392e-02    3.5217e+02    3.5996e-01    3.4227e-01    9.5432e-01    4.5683e-02    8.9275e-01    1.0725e-01    9.8394e-01    1.6059e-02    2.3326e-11    5.8476e-05    -1.3558e-03    1.2910e-04    -1.1715e-03    3.2981e-05    -2.2925e-03    nan    4.0896e-01    nan    2.4919e-01    
# Index 001: Re = 600.00, Pe =  60.00, B = 180.00
6.0000e+02    1.8000e+02    1.0000e-01    6.0000e+01    1.0800e+04    4.0000e+01    9.0000e+01    1.6586e+00    5.2874e-02    1.9015e+02    3.5656e-01    3.3084e-01    4.8217e-02    1.7397e+02    3.5691e-01    3.3074e-01    9.6093e-02    3.4287e+02    3.5351e-01    3.3308e-01    4.6682e-02    1.6990e+02    3.5642e-01    3.2877e-01    8.0870e-02    2.8229e+02    3.5790e-01    3.3893e-01    4.9615e-02    1.7823e+02    3.5702e-01    3.3160e-01    1.2043e-01    4.4353e+02    3.4596e-01    3.2448e-01    9.1545e-01    8.4554e-02    8.3788e-01    1.6212e-01    9.6120e-01    3.8797e-02    -1.5861e-11    1.0421e-06    -1.1727e-04    5.1799e-05    -2.1306e-04    1.0117e-05    -5.8095e-04    nan    3.2045e-01    nan    1.9192e-01    
# Index 002: Re = 600.00, Pe =  60.00, B = 100.00
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.5000e+01    1.6000e+02    1.9944e+00    8.2012e-02    1.4581e+02    3.7222e-01    3.5700e-01    7.4403e-02    1.2867e+02    3.7560e-01    3.6365e-01    1.3042e-01    2.5630e+02    3.5036e-01    3.3487e-01    7.1457e-02    1.2428e+02    3.7634e-01    3.6230e-01    1.1002e-01    2.0319e+02    3.6130e-01    3.4897e-01    7.7130e-02    1.3399e+02    3.7436e-01    3.6257e-01    1.6921e-01    3.6254e+02    3.3258e-01    3.1536e-01    8.6963e-01    1.3037e-01    7.3318e-01    2.6682e-01    9.4994e-01    5.0057e-02    1.1026e-11    -3.5119e-05    -2.9007e-05    -9.0433e-05    9.0370e-05    3.3822e-05    -1.2952e-03    nan    7.5306e-01    nan    3.7786e-01    
# Index 003: Re = 600.00, Pe =  60.00, B =  30.00
6.0000e+02    3.0000e+01    1.0000e-01    6.0000e+01    1.8000e+03    3.5000e+01    8.0000e+01    1.5320e+00    3.9187e-01    1.0758e+02    5.0606e-01    5.2101e-01    3.5108e-01    7.2300e+01    5.4247e-01    5.9075e-01    4.4868e-01    1.5711e+02    4.5388e-01    4.5990e-01    3.4957e-01    7.0782e+01    5.4598e-01    5.9482e-01    4.3368e-01    1.4411e+02    4.6565e-01    4.7307e-01    3.5320e-01    7.4387e+01    5.3805e-01    5.8533e-01    4.7009e-01    1.7548e+02    4.3924e-01    4.4397e-01    5.8961e-01    4.1039e-01    5.0351e-01    4.9649e-01    6.7690e-01    3.2310e-01    3.6387e-12    -1.0842e-03    1.5105e-03    -1.1929e-03    1.1483e-03    -9.3411e-04    1.9691e-03    nan    4.9986e-01    nan    3.2688e-01    
# Index 004: Re = 300.00, Pe =  30.00, B =  10.00
3.0000e+02    1.0000e+01    1.0000e-01    3.0000e+01    3.0000e+02    5.0000e+01    2.5000e+02    1.4643e+00    6.7913e-01    6.1720e+01    5.0442e-01    5.2415e-01    6.4160e-01    3.8851e+01    5.6403e-01    6.2082e-01    7.1274e-01    8.1579e+01    4.5156e-01    4.6643e-01    6.4234e-01    3.8294e+01    5.6745e-01    6.2439e-01    7.0425e-01    7.7033e+01    4.6221e-01    4.7760e-01    6.4093e-01    3.9629e+01    5.5951e-01    6.1605e-01    7.2498e-01    8.7762e+01    4.3832e-01    4.5274e-01    4.7095e-01    5.2905e-01    4.0215e-01    5.9785e-01    5.4596e-01    4.5404e-01    -4.6254e-12    -1.1997e-03    9.7236e-04    -1.3084e-03    8.0010e-04    -1.0011e-03    1.0682e-03    nan    6.2654e-01    nan    4.2702e-01    
# Index 005: Re = 600.00, Pe =  60.00, B =   3.00
6.0000e+02    3.0000e+00    1.0000e-01    6.0000e+01    1.8000e+02    5.5000e+01    1.1000e+02    1.6771e+00    3.5763e+00    1.6631e+02    4.0200e-01    3.9808e-01    3.5196e+00    8.1501e+01    4.9898e-01    5.6669e-01    3.5927e+00    1.9281e+02    3.7078e-01    3.6381e-01    3.5342e+00    8.0833e+01    5.0129e-01    5.6970e-01    3.5850e+00    1.8588e+02    3.7846e-01    3.7180e-01    3.5003e+00    8.2566e+01    4.9540e-01    5.6220e-01    3.6074e+00    2.0264e+02    3.6050e-01    3.5345e-01    2.4370e-01    7.5630e-01    1.9193e-01    8.0807e-01    3.0744e-01    6.9256e-01    4.6787e-11    -4.4991e-04    1.9107e-04    -4.1441e-04    1.4522e-04    -4.7476e-04    2.4432e-04    nan    8.2025e-01    nan    4.9163e-01    
# Index 006: Re = 600.00, Pe =  60.00, B =   1.00
6.0000e+02    1.0000e+00    1.0000e-01    6.0000e+01    6.0000e+01    4.5000e+01    1.2500e+02    1.8170e+00    6.0350e+00    2.1167e+02    2.7604e-01    2.2620e-01    6.0620e+00    9.8103e+01    3.7510e-01    3.8433e-01    6.0297e+00    2.3512e+02    2.5487e-01    2.0778e-01    6.0852e+00    9.7499e+01    3.7701e-01    3.8672e-01    6.0277e+00    2.2847e+02    2.6062e-01    2.1254e-01    6.0291e+00    9.9144e+01    3.7196e-01    3.8054e-01    6.0375e+00    2.4474e+02    2.4694e-01    2.0141e-01    1.7615e-01    8.2385e-01    1.3263e-01    8.6737e-01    2.3257e-01    7.6743e-01    2.4378e-11    -2.0228e-04    3.9766e-05    -1.8587e-04    2.7249e-05    -2.2826e-04    6.0539e-05    nan    8.7616e-01    nan    4.8443e-01    



# Index 007: Re = 1000.00, Pe = 100.00, B = 100.00
1.0000e+03    1.0000e+02    1.0000e-01    1.0000e+02    1.0000e+04    4.0000e+01    7.0000e+01    1.8958e+00    1.7845e-01    2.1996e+02    4.3652e-01    4.4689e-01    1.5219e-01    1.6630e+02    4.4768e-01    4.7665e-01    2.6554e-01    3.9800e+02    3.9960e-01    3.9991e-01    1.4785e-01    1.6017e+02    4.4961e-01    4.7874e-01    2.3235e-01    3.2547e+02    4.1349e-01    4.1616e-01    1.5726e-01    1.7499e+02    4.4462e-01    4.7215e-01    3.1925e-01    5.1833e+02    3.8296e-01    3.8097e-01    7.6835e-01    2.3165e-01    6.3795e-01    3.6205e-01    8.6875e-01    1.3125e-01    -7.1672e-11    -1.0256e-03    3.3369e-03    -1.4980e-03    2.6015e-03    -4.3899e-04    2.7971e-03    nan    4.6181e-01    nan    2.4340e-01    
# Index 008: Re = 1000.00, Pe = 100.00, B =  10.00
1.0000e+03    1.0000e+01    1.0000e-01    1.0000e+02    1.0000e+03    7.0000e+01    1.1000e+02    1.4241e+00    1.5613e+00    1.6454e+02    4.7982e-01    4.8491e-01    1.4528e+00    8.3891e+01    5.6574e-01    6.3090e-01    1.6139e+00    2.0367e+02    4.3772e-01    4.3997e-01    1.4545e+00    8.3018e+01    5.6824e-01    6.3361e-01    1.6026e+00    1.9602e+02    4.4535e-01    4.4773e-01    1.4506e+00    8.5086e+01    5.6239e-01    6.2724e-01    1.6293e+00    2.1344e+02    4.2846e-01    4.3072e-01    3.2926e-01    6.7074e-01    2.8086e-01    7.1914e-01    3.8378e-01    6.1622e-01    -1.5418e-10    1.0166e-03    -5.5296e-04    8.7886e-04    -3.4999e-04    1.0972e-03    -8.0965e-04    nan    5.7261e-01    nan    4.0196e-01    



